case,draw,strength,passed,failed,gate 1,gate 2,gate 3,gate 4,gate 5,gate 6,gate 7,Sharpe,alpha,costs a year,appraisal ratio,effective trials,DSR,neighbours holding the base,DSR against 10,DSR against 30,DSR against 100
top sector,166,0.0,False,2,True,False,False,False,False,False,True,0.50178,-0.011418,0.0041442,-0.082135,2,0.22165,0,,,
near benchmark,166,0.0,False,2,True,False,False,False,False,True,True,0.65053,-0.008523,0.001103,-0.71824,2,0.0010135,0,,,
timing,167,0.0,False,2,True,False,False,False,False,False,True,0.47985,-0.0080759,0.011388,-0.14206,1,0.24353,0,,,
slow timing,167,0.0,False,2,True,False,False,False,False,False,True,0.47159,-0.016548,0.0023776,-0.38084,1,0.061874,0,,,
selection,167,0.0,False,2,True,False,False,False,False,False,True,0.51242,-0.0028427,0.011062,-0.054596,10,0.035094,0,,,
slow selection,167,0.0,False,3,True,True,False,False,False,False,False,0.65029,0.018425,0.0025656,0.38862,10,0.54543,0,,,
planted 0.5,167,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.62951,0.020026,0.011811,0.35214,1,0.94887,0,0.52724,0.33446,0.18883
planted 0.8,167,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.84381,0.058905,0.011172,1.0016,1,0.99997,0,0.99172,0.97144,0.92643
late slow timing,167,0.0,False,2,True,False,False,False,False,False,True,0.65758,-0.021742,0.0037891,-0.10015,2,0.20553,0,,,
rotation,167,0.0,False,2,True,False,False,False,False,False,True,0.60106,-0.016268,0.0023335,-0.66779,2,0.001726,0,,,
binary rotation,167,0.0,False,3,True,True,False,False,False,False,False,0.71857,0.0069695,0.0035814,0.17262,2,0.54377,0,,,
top sector,167,0.0,False,2,True,False,False,False,False,False,True,0.62095,0.0052089,0.0039471,0.052632,2,0.36959,0,,,
near benchmark,167,0.0,False,3,True,True,False,False,False,True,True,0.72301,0.0035754,0.0011211,0.27688,2,0.70656,0,,,
timing,168,0.0,False,2,True,False,False,False,False,False,True,0.49692,-0.0051333,0.011046,-0.09632,1,0.32429,0,,,
slow timing,168,0.0,False,2,True,False,False,False,False,False,True,0.51478,-0.0074893,0.0023793,-0.17809,2,0.099673,0,,,
selection,168,0.0,False,2,True,False,False,False,False,False,True,0.4859,-0.0074134,0.0111,-0.13631,10,0.015416,0,,,
slow selection,168,0.0,False,4,True,True,True,False,False,True,False,0.65359,0.018169,0.0024013,0.38979,10,0.14613,0,,,
planted 0.5,168,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.7144,0.032682,0.011396,0.60624,1,0.99645,0,0.86989,0.73557,0.56946
